AVG Current,STD Current,MAX Current,MIN Current,Range Current,Kurtosis Current,RMS Current,Skewness Current,Entropy Current,AVG Torque,STD Torque,MAX Torque,MIN Torque,Range Torque,Kurtosis Torque,RMS Torque,Skewness Torque,Entropy Torque,AVG Active Power,STD Active Power,MAX Active Power,MIN Active Power,Range Active Power,Kurtosis Active Power,RMS Active Power,Skewness Active Power,Entropy Active Power,Class
0.491028,0.177287,3.587769,0.008118,3.579651,195.977268,0.522022,13.050725,6.874759,0.175116,0.265459,3.888977,0.083801,3.805176,135.579460,0.317905,11.242819,6.605794,0.448055,0.160866,3.926880,0.334106,3.592774,236.696934,0.476031,13.103412,6.873575,0
0.490237,0.144970,3.176880,0.082336,3.094544,154.913329,0.511202,11.145419,6.882446,0.175544,0.254678,3.900696,0.126038,3.774658,122.756297,0.309211,10.635879,6.615188,0.445957,0.170479,3.884033,0.084290,3.799743,284.860734,0.477401,15.525787,6.873353,0
0.485529,0.125391,3.342834,0.302307,3.040527,292.708198,0.501443,15.148624,6.889480,0.163829,0.169912,3.516357,0.082153,3.434204,213.926485,0.235969,13.453633,6.744128,0.444681,0.149242,3.468689,0.330688,3.138001,251.237091,0.469033,14.383626,6.879017,0
0.489232,0.177605,3.989441,0.333313,3.656128,284.769340,0.520442,15.824336,6.877487,0.157104,0.109422,2.116455,0.083313,2.033142,178.843708,0.191423,12.849977,6.818728,0.442829,0.142711,3.971863,0.285767,3.686096,391.788604,0.465235,17.487607,6.882201,0
0.485822,0.117226,2.547180,0.302185,2.244995,161.052549,0.499751,11.877800,6.890492,0.165665,0.172609,3.661438,0.085205,3.576233,206.472186,0.239184,12.911229,6.736357,0.444358,0.126080,2.581604,0.333130,2.248474,133.481241,0.461881,10.474812,6.883568,0
0.488801,0.156395,3.834900,0.333923,3.500977,269.293436,0.513187,14.940916,6.882040,0.168176,0.206554,3.973938,0.083679,3.890259,224.823080,0.266280,13.822233,6.698343,0.453810,0.209500,3.895813,0.261658,3.634155,148.815791,0.499790,11.381431,6.856478,0
0.483778,0.102275,2.583313,0.333435,2.249878,218.176363,0.494460,13.448727,6.894351,0.162314,0.167500,3.411438,0.078552,3.332886,204.235887,0.233182,13.431894,6.749847,0.441622,0.098219,1.591125,0.332458,1.258667,84.176670,0.452402,8.594091,6.890934,0
0.489624,0.173408,3.899597,0.331360,3.568237,297.668492,0.519396,16.102450,6.878658,0.176920,0.284193,3.915344,0.080383,3.834961,124.929106,0.334642,10.890600,6.577014,0.440915,0.096782,1.447998,0.317993,1.130005,74.746735,0.451402,8.083666,6.891033,0
0.482772,0.116985,3.239563,0.333252,2.906311,351.373703,0.496730,17.278116,6.892394,0.161517,0.170776,3.587402,0.036621,3.550781,300.741479,0.234996,16.442326,6.759378,0.454994,0.213626,3.923157,0.325867,3.597290,196.209288,0.502603,13.032770,6.857329,0
0.486088,0.161267,3.836914,0.263000,3.573914,298.259617,0.512115,16.424680,6.882243,0.163724,0.164108,3.114014,0.119263,2.994751,174.828468,0.231754,12.336228,6.747747,0.444973,0.125422,2.581482,0.339600,2.241882,122.799192,0.462294,9.925647,6.883373,0
0.488561,0.138289,3.087524,0.301697,2.785827,190.871511,0.507737,12.604510,6.885420,0.164900,0.201642,3.661987,0.083313,3.578674,187.837986,0.260405,13.244019,6.708487,0.444480,0.129193,2.334656,0.254761,2.079895,118.794102,0.462857,10.081879,6.882395,0
0.489896,0.162874,3.829224,0.451721,3.377503,228.754622,0.516236,13.820912,6.879774,0.167759,0.200183,3.208252,0.121033,3.087219,144.682619,0.261105,11.466601,6.695961,0.447778,0.168182,3.668579,0.317810,3.350769,199.646155,0.478291,12.829715,6.871952,0
0.488759,0.150569,3.491577,0.339844,3.151733,212.164769,0.511404,13.298539,6.882643,0.161820,0.169335,3.082825,0.034119,3.048706,192.816736,0.234161,13.399354,6.749515,0.449262,0.179506,3.840027,0.329590,3.510437,245.709566,0.483763,14.244059,6.869509,0
0.484717,0.134385,3.833313,0.226868,3.606445,401.717401,0.502983,17.884999,6.888332,0.167566,0.195840,3.891418,0.067688,3.823730,181.615372,0.257669,12.384531,6.704517,0.448658,0.160539,3.350647,0.329834,3.020813,189.771416,0.476488,12.329369,6.873824,0
0.482647,0.092321,2.333313,0.333069,2.000244,210.143395,0.491388,13.285718,6.896387,0.172890,0.264064,3.942688,0.087585,3.855103,158.828702,0.315517,12.288848,6.620787,0.448776,0.170687,3.834290,0.337830,3.496460,226.069425,0.480109,13.626265,6.871937,0
0.492311,0.187741,3.841125,0.271057,3.570068,198.361765,0.526860,13.291995,6.872813,0.166087,0.176177,3.145813,0.034119,3.111694,158.725109,0.242058,11.777412,6.728916,0.453286,0.207602,3.837891,0.284424,3.553467,157.489676,0.498522,11.822240,6.858184,0
